VitaSPEC;Type_Essai;Origine-Pays;Origine-PRO;Croisement;Genotype ID VitaPALM;Orgen;Station;trait;Annee Plantation;plot ;Parcelle;Ligne;Arbre;Matricule-PE;obs 19/02/25;ech;Matricule-DIADE;MF (mg);MS (mg) Silicagel;TE1 (%MF);Nb fruit;Nb copeaux;date de collecte;date de spectre (meso et exo);Note;Serie 1 Meso Amel ;;
Diversite;PRO;CI;La Mé;LM 2 T x LM 451 T;;PO  16656;PO;-;2017;;333;;;PO-333-16-10-2017;;M14;333-L16-A10;749;609,2;19;1;4;25/03/2024;26/03/2024;;M14;La Mé;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;35;6;PO-407-35-6-2020;PM;M140;P407-L35-A6;962;747,4;22;1;1;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18096;PO;-;2020;4;407;40;3;PO-407-40-3-2020;M;M141;P407-L40-A3;1131;671,1;41;1;1;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18177;PO;-;2020;5;407;38;6;PO-407-38-6-2020;M;M142;P407-L38-A6;903;664,6;26;1;1;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;34;7;PO-407-34-7-2020;PM;M143;P407-L34-A7;824;599,0;27;1;1;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;32;5;PO-407-32-5-2020;M;M144;P407-L32-A5;983;656,7;33;1;2;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18152;PO;-;2020;10;407;24;6;PO-407-24-6-2020;M;M145;P407-L24-A6;1102;707,1;36;1;2;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18177;PO;-;2020;5;407;39;6;PO-407-39-6-2020;M;M146;P407-L39-A6;1120;809,0;28;1;2;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;33;6;PO-407-33-6-2020;M;M147;P407-L33-A6;1051;750,7;29;1;1;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;37;6;PO-407-37-6-2020;M;M148;P407-L37-A6;1058;751,6;29;1;2;25/02/2025;25/02/2025;;;;
