code_nirs;Code_chimie;C14:0;C16:0;C18:0;C18:1n9;C18:1n7;C18:2;C18:3;C20:0
M84-P113-L34-A26;M84-B34-26;0,2;28,5;6,0;56,0;1,0;7,5;0,3;0,4
M88-P323-L20-A19;M88-G20-19;0,3;28,9;5,7;52,7;0,5;11,0;0,4;0,4
M8-P333-L15-A25;M8-H15-25;0,2;31,0;6,7;52,7;1,4;7,2;0,4;0,4
M91-P323-L19-A18;M91-G19-18;0,7;41,0;4,6;45,2;1,5;6,3;0,3;0,4
M96-P333-L10-A11;M96-H10-11;0,4;35,6;6,3;47,3;0,9;8,5;0,4;0,5
M97-P333-L11-A19;M97-H11-19;0,3;33,3;7,1;49,7;1,0;7,7;0,3;0,5
M99-P434-L1-A18;M99-K1-18;1,3;47,8;3,6;35,0;1,3;10,2;0,3;0,4
M9-P333-L18-A15;M9-H18-15;0,7;33,0;8,8;48,6;1,1;7,1;0,3;0,4
M141-P407-L40-A3;M141-R40-3;0,4;41,8;4,7;39,6;2,9;10,2;0,2;0,2
M142-P407-L38-A6;M142-R38-6;0,5;42,8;5,7;39,4;1,8;8,9;0,4;0,4
M144-P407-L32-A5;M144-R32-5;0,7;39,2;7,5;41,4;1,6;8,8;0,4;0,5
M145-P407-L24-A6;M145-R24-6;0,8;40,5;6,1;39,6;1,7;10,8;0,1;0,4
M148-P407-L37-A6;M148-R37-6;1,2;48,3;4,7;33,4;1,6;10,3;0,2;0,3
M149-P407-L18-A7;M149-R18-7;0,8;44,0;4,7;37,5;1,9;10,6;0,1;0,3
M150-P407-L36-A6;M150-R36-6;0,8;39,4;5,4;41,8;1,9;10,0;0,3;0,3
M153-P407-L38-A5;M153-R38-5;0,9;45,7;4,6;37,3;1,7;9,1;0,5;0,2
M154-P407-39-A14;M154-R39-14;0,6;39,2;5,9;43,6;1,6;8,2;0,4;0,4
M157-P407-L39-A10;M157-R39-10;0,7;39,9;5,4;43,8;1,8;7,7;0,4;0,4
M158-P407-L37-A7;M158-R37-7;0,7;44,8;5,3;37,7;1,9;9,0;0,2;0,3
M159-P407-L37-A8;M159-R37-8;0,8;40,2;7,0;37,3;1,7;12,0;0,5;0,5
M161-P407-L38-A16;M161-R38-16;0,6;42,2;3,9;41,4;2,2;9,1;0,3;0,3
M164-P407-L30-A9;M164-R30-9;0,7;42,1;4,3;41,1;2,4;8,9;0,2;0,2
M170-P407-L33-A7;M170-R33-7;0,5;38,7;6,6;43,1;1,9;8,5;0,4;0,4
M172-P407-L34-A10;M172-R34-10;1,0;41,5;6,0;38,2;0,8;11,6;0,4;0,5
M173-P407-L34-A9;M173-R34-9;0,5;42,8;3,3;39,4;3,1;10,6;0,1;0,2
M175-P407-L32-A2;M175-R32-2;0,7;41,1;5,9;37,6;2,0;11,8;0,3;0,5
M177-P407-L31-A15;M177-R31-15;1,0;40,1;4,9;44,6;1,9;6,8;0,4;0,3
M178-P407-L31-A13;M178-R31-13;0,7;41,9;4,1;38,1;2,1;12,3;0,5;0,3
M182-P407-L21-A4;M182-R21-4;1,0;43,5;4,6;40,1;2,1;7,9;0,5;0,3
M183-P407-L20-A2;M183-R20-2;0,5;40,0;4,8;45,0;1,7;7,4;0,3;0,3
M190-P407-L19-A3;M190-R19-3;0,4;39,3;5,2;45,3;1,7;7,4;0,3;0,4
M192-P407-L22-A11;M192-R22-11;1,2;47,1;5,0;33,6;1,7;10,6;0,4;0,4
M193-P407-L23-A3;M193-R23-3;1,3;44,5;4,8;36,8;1,8;10,1;0,3;0,4
M196-P407-L22-A13;M196-R22-13;0,6;40,2;4,0;40,8;2,4;10,8;0,6;0,5
M198-P407-L20-A12;M198-R20-12;0,8;46,9;3,6;37,0;1,8;9,1;0,4;0,5
M200-P407-L22-A2;M200-R22-2;0,9;41,1;5,1;41,5;1,7;9,2;0,3;0,3
M204-P407-L25-A3;M204-R25-3;0,8;42,6;4,5;41,4;2,2;7,9;0,4;0,2
M208-P407-L28-A8;M208-R28-8;1,0;44,6;4,4;38,8;1,8;8,9;0,2;0,3
M209-P407-L23-A7;M209-R23-7;0,6;37,6;6,8;43,0;1,8;9,5;0,3;0,4
M212-P407-L27-A10;M212-R27-10;0,8;43,0;5,3;38,0;1,7;10,7;0,2;0,4
M217-P407-L29-A3;M217-R29-3;0,8;38,5;7,0;40,9;1,7;10,5;0,3;0,4
M219-P407-L25-A7;M219-R25-7;1,1;41,3;5,4;38,5;1,9;10,7;0,4;0,7
M220-P407-L29-A8;M220-R29-8;0,6;37,9;5,8;41,7;1,7;11,7;0,2;0,4
M246-P407-L15-A16;M246-R15-16;0,5;39,5;6,7;42,1;1,8;8,8;0,3;0,4
M247-P407-L18-A13;M247-R18-13;0,6;41,2;5,3;40,2;2,0;9,9;0,4;0,3
M248-P407-L16-A7;M248-R16-7;0,3;33,0;7,3;50,9;1,9;6,0;0,3;0,3
M250-P407-L15-A15;M250-R15-15;0,6;40,2;6,1;38,5;1,6;12,2;0,3;0,4
M251-P407-L17-A13;M251-R17-13;1,1;47,7;4,3;33,5;1,6;11,0;0,3;0,5
M253-P407-L16-A16;M253-R16-16;0,6;40,6;5,9;40,2;1,7;10,4;0,3;0,3
M255-P407-L16-A14;M255-R16-14;0,5;37,9;4,5;47,6;1,8;7,1;0,2;0,4
M258-P407-L18-A4;M258-R18-4;0,5;45,4;6,1;35,6;1,7;10,0;0,4;0,4
M260-P407-L17-A14;M260-R17-14;0,8;42,3;4,3;42,1;1,9;8,1;0,3;0,3
M262-P407-L15-A5;M262-R15-5;0,6;40,3;4,8;43,7;1,8;8,2;0,2;0,4
M263-P407-L17-A2;M263-R17-2;1,0;43,4;6,0;35,7;1,5;11,4;0,5;0,5
M266-P407-L16-A4;M266-R16-4;0,7;43,2;4,6;40,2;1,9;8,6;0,4;0,4
M267-P407-L15-A3;M267-R15-3;0,5;40,3;4,7;45,3;1,9;6,9;0,2;0,3
M269-P407-L17-A3;M269-R17-3;1,0;49,0;4,8;32,8;1,6;10,1;0,4;0,3
M271-P407-L18-A5;M271-R18-5;0,8;43,2;5,4;38,2;1,7;10,0;0,3;0,4
M272-P407-L18-A2;M272-R18-2;0,5;41,8;6,2;40,4;1,8;8,9;0,2;0,2
M282-P407-L14-A11;M282-R14-11;0,9;44,6;5,5;36,8;1,6;9,8;0,4;0,3
M285-P407-L14-A4;M285-R14-4;0,5;40,9;4,6;44,5;2,6;6,8;0,1;0,1
M289-P407-L11-A8;M289-R11-8;0,8;41,6;4,6;40,8;2,5;9,3;0,3;0,1
M290-P407-L9-A7;M290-R9-7;1,1;42,1;4,5;40,8;2,2;8,6;0,4;0,3
M296-P407-L14-A12;M296-R14-12;0,5;40,0;5,7;41,4;2,1;10,1;0,2;0,0
M300-P407-L11-A9;M300-R11-9;0,8;37,6;6,4;42,2;1,8;10,6;0,2;0,4
M304-P407-L12-A9;M304-R12-9;0,6;41,9;5,1;39,8;1,8;10,2;0,3;0,3
