Algorithme;Tissu;Compose;Fichier_Data;Pretraitement;Variables_Latentes;Hyperparametres;RMSEP_Attendu;R2p_Attendu;Dossier_Pack_Modeles
random_forest;meso_frais;C18.0;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500};1.1258;0.2524;PRODUCTION/modeles_pack/random_forest/meso_frais/C18.0
random_forest;meso_frais;X13.cis.beta.carotene;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};23.72;0.5622;PRODUCTION/modeles_pack/random_forest/meso_frais/X13.cis.beta.carotene
random_forest;meso_frais;C18.2;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 15));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100};0.8979;0.5256;PRODUCTION/modeles_pack/random_forest/meso_frais/C18.2
random_forest;meso_frais;ratio.alpha.beta;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500};0.3854;0.1844;PRODUCTION/modeles_pack/random_forest/meso_frais/ratio.alpha.beta
random_forest;meso_frais;C18.1n9;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};3.5214;0.486;PRODUCTION/modeles_pack/random_forest/meso_frais/C18.1n9
random_forest;meso_frais;C20.0;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0.0795;-0.1124;PRODUCTION/modeles_pack/random_forest/meso_frais/C20.0
random_forest;meso_frais;trans.beta.carotene;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 9));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};154.1113;0.6893;PRODUCTION/modeles_pack/random_forest/meso_frais/trans.beta.carotene
random_forest;meso_frais;C16.0;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500};3.368;0.6064;PRODUCTION/modeles_pack/random_forest/meso_frais/C16.0
random_forest;meso_frais;eau;dat_mean_Meso_frais_2425.csv;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};2.8111;0.9098;PRODUCTION/modeles_pack/random_forest/meso_frais/eau
random_forest;meso_silica;total.carotene;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};269.907;0.8222;PRODUCTION/modeles_pack/random_forest/meso_silica/total.carotene
random_forest;meso_silica;total.trans.carotene.natif;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};249.5201;0.7926;PRODUCTION/modeles_pack/random_forest/meso_silica/total.trans.carotene.natif
random_forest;meso_silica;total.beta.carotene;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};176.7133;0.7343;PRODUCTION/modeles_pack/random_forest/meso_silica/total.beta.carotene
random_forest;meso_silica;ratio.alpha.natif;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0.089;0.3445;PRODUCTION/modeles_pack/random_forest/meso_silica/ratio.alpha.natif
random_forest;meso_silica;X13.cis.beta.carotene;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1000,1)), list('snv','');;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200};36.5822;0.1631;PRODUCTION/modeles_pack/random_forest/meso_silica/X13.cis.beta.carotene
random_forest;meso_silica;C18.1n9;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};2.1126;0.8336;PRODUCTION/modeles_pack/random_forest/meso_silica/C18.1n9
random_forest;meso_silica;C18.1n7;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 11));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300};0.4729;0.2386;PRODUCTION/modeles_pack/random_forest/meso_silica/C18.1n7
random_forest;meso_silica;trans.beta.carotene;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};173.2848;0.5128;PRODUCTION/modeles_pack/random_forest/meso_silica/trans.beta.carotene
random_forest;meso_silica;C16.0;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};1.7736;0.8727;PRODUCTION/modeles_pack/random_forest/meso_silica/C16.0
random_forest;meso_silica;C18.3;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500};0.0971;0.2507;PRODUCTION/modeles_pack/random_forest/meso_silica/C18.3
random_forest;meso_silica;tlip.MS;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300};2.9753;0.4794;PRODUCTION/modeles_pack/random_forest/meso_silica/tlip.MS
random_forest;meso_silica;ratio.alpha.beta;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 21));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.3638;0.3416;PRODUCTION/modeles_pack/random_forest/meso_silica/ratio.alpha.beta
random_forest;meso_silica;C14.0;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300};0.1978;0.672;PRODUCTION/modeles_pack/random_forest/meso_silica/C14.0
random_forest;meso_silica;C20.0;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,21));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.071;0.1325;PRODUCTION/modeles_pack/random_forest/meso_silica/C20.0
random_forest;meso_silica;C18.2;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};1.1576;0.3846;PRODUCTION/modeles_pack/random_forest/meso_silica/C18.2
random_forest;meso_silica;ratio.beta.natif;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.0928;0.2674;PRODUCTION/modeles_pack/random_forest/meso_silica/ratio.beta.natif
random_forest;meso_silica;C18.0;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300};1.351;0.3503;PRODUCTION/modeles_pack/random_forest/meso_silica/C18.0
random_forest;meso_silica;X9.cis.beta.carotene;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1,3,15));;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300};26.006;0.7672;PRODUCTION/modeles_pack/random_forest/meso_silica/X9.cis.beta.carotene
random_forest;meso_silica;trans.alpha.carotene;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};140.4719;0.8049;PRODUCTION/modeles_pack/random_forest/meso_silica/trans.alpha.carotene
random_forest;meso_silica;eau;dat_mean_Meso_sec_2425_DIADE.csv;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};4.852;0.7618;PRODUCTION/modeles_pack/random_forest/meso_silica/eau
random_forest;HR;total.carotene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};219.3326;0.7746;PRODUCTION/modeles_pack/random_forest/HR/total.carotene
random_forest;HR;X9.cis.beta.carotene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2,3,15));;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};28.208;0.7136;PRODUCTION/modeles_pack/random_forest/HR/X9.cis.beta.carotene
random_forest;HR;C18.2;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.8282;0.4692;PRODUCTION/modeles_pack/random_forest/HR/C18.2
random_forest;HR;total.trans.carotenes.natif;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};156.7814;0.7397;PRODUCTION/modeles_pack/random_forest/HR/total.trans.carotenes.natif
random_forest;HR;trans.beta.carotene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};98.0405;0.8244;PRODUCTION/modeles_pack/random_forest/HR/trans.beta.carotene
random_forest;HR;C16.0;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};1.3786;0.7425;PRODUCTION/modeles_pack/random_forest/HR/C16.0
random_forest;HR;dT3;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100};35.1835;0.3362;PRODUCTION/modeles_pack/random_forest/HR/dT3
random_forest;HR;X13.cis.beta.carotene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('sder',c(1,3,31)), list('snv','');;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};19.4205;0.6377;PRODUCTION/modeles_pack/random_forest/HR/X13.cis.beta.carotene
random_forest;HR;C18.0;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0.5183;0.0935;PRODUCTION/modeles_pack/random_forest/HR/C18.0
random_forest;HR;aT;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};54.3305;0.2543;PRODUCTION/modeles_pack/random_forest/HR/aT
random_forest;HR;total.toco;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500};277.6687;0.1032;PRODUCTION/modeles_pack/random_forest/HR/total.toco
random_forest;HR;FFA;dat_HR_25_DIADE_clean.csv;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};1.854;0.891;PRODUCTION/modeles_pack/random_forest/HR/FFA
random_forest;HR;aT3;dat_HR_25_DIADE_clean.csv;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200};72.6836;0.2532;PRODUCTION/modeles_pack/random_forest/HR/aT3
random_forest;HR;ratio.alpha.natif;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300};0.0299;0.185;PRODUCTION/modeles_pack/random_forest/HR/ratio.alpha.natif
random_forest;HR;C14.0;dat_HR_25_DIADE_clean.csv;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200};0.1602;0.3863;PRODUCTION/modeles_pack/random_forest/HR/C14.0
random_forest;HR;gT3;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200};65.9933;0.4334;PRODUCTION/modeles_pack/random_forest/HR/gT3
random_forest;HR;lycopene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};5.0083;0.587;PRODUCTION/modeles_pack/random_forest/HR/lycopene
random_forest;HR;trans.alpha.carotene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 31));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200};72.6496;0.7818;PRODUCTION/modeles_pack/random_forest/HR/trans.alpha.carotene
random_forest;HR;total.T3;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500};238.8088;0.1372;PRODUCTION/modeles_pack/random_forest/HR/total.T3
random_forest;HR;ratio.alpha.beta;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};0.1004;0.2973;PRODUCTION/modeles_pack/random_forest/HR/ratio.alpha.beta
random_forest;HR;total.beta.carotene;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};122.5736;0.7188;PRODUCTION/modeles_pack/random_forest/HR/total.beta.carotene
random_forest;HR;C18.1n9;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));;{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};1.605;0.6187;PRODUCTION/modeles_pack/random_forest/HR/C18.1n9
random_forest;HR;ratio.beta.natif;dat_HR_25_DIADE_clean.csv;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));;{'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.0401;0.0798;PRODUCTION/modeles_pack/random_forest/HR/ratio.beta.natif
