"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotene","trans.beta.carotene","total.trans.carotene.natif","ratio.alpha.beta","ratio.alpha.natif","ratio.beta.natif","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene"
"M142",26,0.5,42.8,5.7,39.4,1.8,8.9,0.4,0.4,82.100358486107,25.054435692581,42.5944818671677,67.6489175597488,0.588208486036152,0.370359742570197,0.629640257429803,4.06084388789634,8.95946065980642,55.6147864148705,80.6692221074515
"M143",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M144",33,0.7,39.2,7.5,41.4,1.6,8.8,0.4,0.5,82.0147052960604,1530.27996908142,917.877996462076,2448.1579655435,1.66719321628781,0.625074031422517,0.374925968577483,186.512332500393,108.782873595892,1213.17320255836,2743.45317163978
"M145",36,0.8,40.5,6.1,39.6,1.7,10.8,0.1,0.4,77.66225709964,99.3840298841584,126.00459094512,225.388620829278,0.788733403590382,0.440945197315162,0.559054802684838,12.0816076955676,41.1002817351888,179.186480375876,278.570510260035
"M146",28,0.644089062955054,44.7616009698827,5.18361332835172,40.2068099572668,0.578128558172411,7.9791775071267,0.221270695391289,0.425309920853341,88.0105472847776,93.408451782868,98.8753615122363,192.283813295104,0.944709079736798,0.485784269524086,0.514215730475914,2.25258324213277,13.2361201568575,114.364064911227,207.772516694095
"M147",29,0.392600756042186,37.540031062113,5.58679400408268,46.8974217730532,0.553951205759374,8.23157293500543,0.359932622236287,0.437695641707799,85.1760177466351,1242.11074462908,492.178476894935,1734.28922152401,2.52369984251511,0.716207382951713,0.283792617048287,1.44693401797143,149.075377996526,642.700788909433,1884.81153353851
"M148",29,1.2,48.3,4.7,33.4,1.6,10.3,0.2,0.3,82.3634303648793,149.260594587225,287.104631264477,436.365225851702,0.519882225270438,0.342054283303388,0.657945716696612,13.4676727745818,25.2915454164236,325.863849455483,475.124444042708
"M149",26,0.8,44,4.7,37.5,1.9,10.6,0.1,0.3,83.2982917493365,108.208504439299,200.161440066791,308.36994450609,0.540606144735924,0.350904834816552,0.649095165183448,9.22080037915854,18.6571451911039,228.039385637054,336.247890076352
"M15",25,0.3,29.6,11.2,49.7,0.4,7.8,0.2,0.7,80.3866769607766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M150",27,0.8,39.4,5.4,41.8,1.9,10,0.3,0.3,80.9061463601345,319.261984241975,470.056130661804,789.31811490378,0.679199702793958,0.404478217607985,0.595521782392015,22.6381887638156,33.7100622222846,526.404381647905,845.66636588988
"M151",31,0.656699211777129,37.9514695831521,6.50049484332464,44.8204969496782,0.46895700145755,8.91773131169794,0.311143568696439,0.373007530215935,84.6831561394489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M152",24,0.713575215694213,39.9831781850048,5.61890121686025,44.4533396607694,0.538143176129685,8.04873820418066,0.279320954957069,0.364803386403864,86.4914513796402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M153",33,0.9,45.7,4.6,37.3,1.7,9.1,0.5,0.2,81.9339667075239,119.205017029389,118.553991327175,237.759008356565,1.00549138578065,0.501369087351755,0.498630912648245,8.86005388609403,21.1953687716244,148.609413984894,267.814431014283
"M154",32,0.6,39.2,5.9,43.6,1.6,8.2,0.4,0.4,81.9245772962542,1080.79944156681,757.72849806908,1838.52793963589,1.42636768225164,0.587861309184596,0.412138690815404,41.6959658625464,127.71610351221,927.140567443837,2007.94000901065
"M155",32,0.747952502278337,41.5870073038018,5.02735363580004,42.8077200021142,0.625862521520971,8.40444268399772,0.393438286055688,0.406223064431284,85.5167800000058,537.612214723492,346.751952838514,884.364167562006,1.55042303387939,0.607908183577325,0.392091816422675,3.14221739479651,91.9981958532658,441.892366086576,979.504580810068
"M156",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
