code_nirs,C14:0,C16:0,C18:0,C18:1n9,C18:1n7,C18:2,C18:3,C20:0
M270-P407-L16-A5,0.74546283483311,39.64699363658349,5.744261560214177,43.800046500148575,0.488924169380401,8.662554700649595,0.4359363972705844,0.47582020092005844
M273-P407-L16-A3,0.7586056293501885,43.72375835778338,3.9421934520594695,42.87717805993237,0.7435138911971102,7.200830204517188,0.4761877344490569,0.2777326707112347
M283-P407-L12-A10,1.1444863662391425,41.53420473911188,4.9521291583130385,38.7874524527389,0.6189632175550781,12.228838148625593,0.3265333992059942,0.4073925182103832
M284-P407-L14-A7,0.7568424931517376,42.89761660768524,4.8322173703159494,42.16507061337826,0.6285708962019673,8.007831696651213,0.34833260366966584,0.36351771894598345
M286-P407-L14-A2,0.7412456599019273,41.33227615828698,4.846091344130432,42.82150842848322,0.6457074062681717,9.040732270154958,0.2510079107721761,0.32143082200214285
M287-P407-L10-A7,1.4654610881147807,48.100237780551474,5.081228944149953,34.792955962773284,0.5360357844695421,9.337343370351494,0.3246153676919732,0.36212170189750015
M288-P407-L9-A5,1.0104839629692755,41.01483997782066,5.159713970759334,41.909818885457426,0.6252830571497504,9.71840332877762,0.22143779467325522,0.340019022392692
M291-P407-L8-A7,0.6987604765824765,40.77406642638435,4.652958028617934,42.51149699527747,0.6242873839693427,10.11968905512738,0.25549125378802934,0.3632503802530237
M293-P407--L8-A12,0.9478124423898165,42.20438954555633,5.347352435904884,37.630292083442825,0.5096470924714368,12.503261259313854,0.33806622608910386,0.5191789148317382
M298-P407-L10-A5,0.8815383380247208,42.45929442441216,4.454094441186795,41.062267104775636,0.6309205818669427,9.957001751293651,0.20930893606117376,0.34557442237895186
M301-P407-L10-A6,0.6656444585856901,44.839310666882064,4.0628044633245155,38.88908413897374,0.6879762196312544,10.110117922388966,0.41258350026192725,0.33247862995183775
M303-P407-L9-A11,1.0904151242980973,42.72980619023021,4.65579777109945,39.33518480616034,0.6269630194256869,10.688897458726647,0.40587533874853793,0.4670602913110397
M305-P407-L10-A11,0.835993552413982,43.350114178618306,5.373249752416305,38.96368234486802,0.510117350826532,10.273439399767733,0.2843297270707099,0.409073694018404
M306-P407-L8-A11,0.8514066061395729,45.70945885266633,4.630801949233093,36.31762524329907,0.6205865844695129,11.198378861315883,0.2550992267204457,0.4166426761560817
