"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotne","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotenes","total.carotenes"
"M257",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M258",38,0.5,45.4,6.1,35.6,1.7,10,0.4,0.4,75.6,378,417,16,32,464,842
"M259",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M26",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M260",33,0.8,42.3,4.3,42.1,1.9,8.1,0.3,0.3,78.1,493,547,23,73,643,1137
"M261",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M262",23,0.6,40.3,4.8,43.7,1.8,8.2,0.2,0.4,82,369,185,12,44,240,610
"M263",30,1,43.4,6,35.7,1.5,11.4,0.5,0.5,80.7,590,741,37,49,827,1417
"M264",25,0.56810077073797,37.6002246504569,5.46553195347582,48.4212826464872,0.558815185664703,6.69474036952666,0.292004976307954,0.399299447342829,NA,NA,NA,NA,NA,NA,NA
"M265",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M266",30,0.7,43.2,4.6,40.2,1.9,8.6,0.4,0.4,73.3,888,703,42,140,884,1772
"M267",23,0.5,40.3,4.7,45.3,1.9,6.9,0.2,0.3,83.7,754,469,31,50,550,1304
"M268",20,0.735244730624277,40.4376965416149,5.29713979401488,43.9563610411614,0.515162403123479,8.41570085033127,0.334565324282362,0.308129314847505,NA,NA,NA,NA,NA,NA,NA
"M269",47,1,49,4.8,32.8,1.6,10.1,0.4,0.3,74.3,497,422,25,41,488,985
"M27",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M270",26,0.74546283483311,39.6469936365835,5.74426156021418,43.8000465001486,0.488924169380401,8.6625547006496,0.435936397270584,0.475820200920058,NA,NA,NA,NA,NA,NA,NA
"M271",32,0.8,43.2,5.4,38.2,1.7,10,0.3,0.4,80,172,275,13,19,307,478
"M272",20,0.5,41.8,6.2,40.4,1.8,8.9,0.2,0.2,82.9,372,304,17,25,345,717
"M273",44,0.758605629350188,43.7237583577834,3.94219345205947,42.8771780599324,0.74351389119711,7.20083020451719,0.476187734449057,0.277732670711235,NA,NA,NA,NA,NA,NA,NA
"M274",25,1,46.8,4.5,37.1,1.5,8.7,0,0.4,NA,136,86,46,33,165,302
