"ech","C14.0","C16.0","C18.0","C18.1n9","C18.2","FFA(%)","trans.alpha.carotene","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene","lycopene","aT","aT3","gT3","dT3","total.T3","total.toco"
"11",0.519636306623002,40.7811534993166,5.65375128518166,41.4573080806121,10.0122873629548,7.03723545582015,397.260170510879,416.672435151928,84.3411634793892,106.098715196534,607.11231382785,1004.37248433873,4.20581270251219,170.30797387291,277.873807262,298.348804337877,70.9019553859133,647.12456698579,817.4325408587
"12",0.831052226281878,39.2986632070328,4.57994972638881,43.2268005043501,10.1273138174979,12.1226083430629,274.051345170723,262.51786619646,65.0605953264926,124.347211913837,451.92567343679,725.977018607513,1.28591227341423,145.298891862755,174.922424448797,225.86545323619,75.7837341796813,476.571611864668,621.870503727424
"13",0.58918076749124,34.9853444045334,6.83388866588754,46.2197243673147,9.79032196025246,7.08544490970126,742.015827240135,781.538002078272,158.093864086742,203.478396182343,1143.11026234736,1885.12608958749,19.8766878026281,251.854038355066,347.176826326327,407.197305790129,165.892709002811,920.266841119266,1172.12087947433
"14",0.479706468277552,34.121972403352,6.73778333250003,47.71659340801,9.47255332596914,12.5068748888638,669.729965260912,800.234567672274,117.918735194362,206.637611791232,1124.79091465787,1794.52087991878,27.2065523642421,196.655402331491,324.657458652445,492.007033177632,160.870892525801,977.535384355878,1174.19078668737
"15",0.681747137620586,39.1953209366302,6.03670101704966,41.5725650509092,11.0505453324323,7.00990510060181,183.691984099515,317.069506321282,37.6203747779621,81.3060444825136,435.995925581757,619.687909681273,2.19861056754296,238.981760606107,438.346583957498,541.025618541085,176.333357256861,1155.70555975544,1394.68732036155
"16",0.839604117696701,43.3142583881572,5.04329594702909,40.1802703588724,9.0202596100109,16.573457788807,234.510838623449,227.880235059995,58.0863101874108,91.448531040859,377.415076288265,611.925914911714,0.737016543913498,62.061335063665,125.909387152926,247.606460877206,112.593959099993,486.109807130125,548.17114219379
"17",0.787347162359636,42.030260366681,4.86293783767288,41.6783972177887,9.03010863267332,12.7533912032506,371.73090735758,414.690311735926,48.1954697587803,163.974975886248,626.860757380955,998.591664738535,3.22337200576351,204.756654599645,368.104120851782,437.85185479926,197.796649361594,1003.75262501264,1208.50927961228
"18",0.819333015128087,43.3021660193698,4.95022809573495,40.2319684739432,9.09123640862626,13.6475442848061,227.978647483332,307.913514223677,34.3982703625452,74.6498053081062,416.961589894329,644.940237377661,3.63885234160509,200.741389669586,369.574781588089,416.229907492012,194.805842008995,980.610531089096,1181.35192075868
"19",0.547287219884967,37.1014255299428,5.34426630304113,46.0843381288087,9.39744553362396,6.57009318690377,225.644844188095,347.255731457893,22.9446419445965,106.096318816642,476.296692219132,701.941536407227,3.67351123192479,241.016824998901,358.038995612369,448.170315930532,134.908082067106,941.117393610008,1182.13421860891
"20",0.606539637983073,42.373857501876,5.66062251560406,41.3158442513334,8.59367170677025,4.11040404063974,146.229562040885,205.660231091208,28.065794839104,111.769612495703,345.495638426015,491.725200466901,4.64152160969956,141.960234818081,210.78041809983,313.746494132118,67.8617524759605,592.388664707909,734.34889952599
